,ref_de,orig_en,trans_de
10,Jeder Player verfügt über einen Lautstärkeregler.,Each player has a volume control.,Jeder Spieler hat eine Lautstärkeregelung.
11,A dawn for every person on earth. Great music and voice(10).,"""L'altro lato"" in fact creates an atmosphere that brings new creative energies(8.5).","„L'altro lato“ schafft tatsächlich eine Atmosphäre, die neue kreative Energien hervorbringt (8,5)."
12,"Der Client greift auf einen Palo Server zu, der bei Tensegrity gehostet wird. Je nach Qualität Ihrer Verbindung ist natürlich die Performance bei Zugriffen auf die Datenbank langsamer, als wenn man in einem Firmennetzwerk arbeitet.","Depending on the speed of your internet connection, the performance will be worse than using it within an intranet scenario.",Je nach Geschwindigkeit Ihrer Internetverbindung kann die Leistung schlechter sein als bei der Nutzung innerhalb eines Intranet-Szenarios.
13,"Diese reichen von der Aktualisierung des Handbuchs für ein umweltfreundliches Beschaffungswesen, an der ich zusammen mit meinem Kollegen Herrn Potočnik arbeite, über die Umsetzung des europäischen Energieeffizienzplans, an dem wir mit Herrn Öttinger und Frau Hedegaard arbeiten, bis hin zur Förderung von prekommerziellen Beschaffungsplänen und Plänen für innovative Beschaffungsaktivitäten im Allgemeinen, die wir mit Herrn Tajani und Frau Geoghegan-Quinn koordinieren.","These will range from updating the Handbook on green public procurement, which I am preparing with my colleague, Mr Potočnik, to implementation of the European Energy Efficiency Plan, which we are working on with Mr Oettinger or Mrs Hedegaard, or promoting pre-commercial procurement plans and plans for innovative purchasing activities generally, which we are coordinating together with Mr Tajani and Mrs Geoghegan-Quinn.","Diese Aufgaben reichen von der Aktualisierung des Handbuchs für umweltfreundliche öffentliche Auftragsvergabe, das ich gemeinsam mit meinem Kollegen Herrn Potočnik vorbereite, über die Umsetzung des europäischen Energieeffizienzplans, an dem wir mit Herrn Oettinger oder Frau Hedegaard arbeiten, bis hin zur Förderung von vorkommerziellen Beschaffungsplänen und Plänen für innovative Beschaffungstätigkeiten im Allgemeinen, die wir zusammen mit Herrn Tajani und Frau Geoghegan-Quinn koordinieren."
14,"Das Ergebnis ist ein sehr verzÃ¶gerungstolerantes System, das die Spieler aktiv in die HandlungsablÃ¤ufe einbezieht, ohne diejenigen mit langsamen Internetverbindungen zu bestrafen.",The result is a very lag-tolerant system that keeps the player actively engaged in what's going on while not penalizing those with high-latency Internet connections.,"Das Ergebnis ist ein sehr verzögerungstolerantes System, das den Spieler aktiv in das Geschehen einbindet, ohne diejenigen mit hochlatenzfähigen Internetverbindungen zu benachteiligen."
15,"gratis parken, gepflegt essen und gut schlafen in einem Ambiente wie zu Hause!","Free parking, delicious food and a reviving sleep in a home-like atmosphere.","Kostenloses Parken, köstliches Essen und erholsamer Schlaf in einer heimeligen Atmosphäre."
16,"Nun droht, ein Jahr vor dem möglichen Abschluss der Verhandlungen, eine Regierungskrise, deren Folgen nicht ganz zu überblicken sind.","A year before the possible conclusion of the negotiations, there is now the threat of a Government crisis, the implications of which are not entirely clear.","Ein Jahr vor dem möglichen Abschluss der Verhandlungen droht nun eine Regierungskrise, deren Auswirkungen nicht ganz klar sind."
17,"Den Nebenpott bekommt der Spieler mit der zweitbesten Hand. Falls nun mehere Spieler All-in gehen, dann werden auch mehere Nebenpotts erstellt.","When several players go All-in, multiple side pots are created.","Wenn mehrere Spieler All-in gehen, werden mehrere Side-Pots erstellt."
18,"Er schafft eine Verbindung zur Welt und zu anderen Menschen, die weder durch Erkenntnis noch durch Sinneswahrnehmungen geschaffen werden kann, da das Wissen und die Sinne uns stets eine geschlossene Welt ohne wirkliche „Exteriorität“ vermitteln.","They are not so much a part of us. Rather, they permeate us and at the same time bring about a change and expansion of “consciousness” and thus enhance our “ability to act”.",Sie sind nicht so sehr ein Teil von uns. Vielmehr durchdringen sie uns und bewirken gleichzeitig eine Veränderung und Erweiterung des „Bewusstseins“ und verbessern somit unsere „Handlungsfähigkeit“.
19,"Der freie Wettbewerb im Eisenbahnsektor kann die Situation im Eisenbahnverkehr, und zwar nicht nur im Güter-, sondern auch im Personenverkehr, nur verbessern, und ich sehe schon die älteren Bürger und Rentner, die endlich ihre Zeit mit Reisen durch ganz Europa verbringen können, in Schlaf-, Speise- oder Reisewagen, die jene komfortablen Reisen ermöglichen, auf die sie, eben gerade weil sie schon älter sind, nicht verzichten können.","Free competition in the railway sector can only improve the condition of both goods and passenger railway transport, and, in my mind' s eye, I can already see pensioners and elderly people who are, at last, able to spend their time travelling around Europe in sleeper and restaurant cars - comfortable carriages which are absolutely essential for them precisely because of their age.","Freier Wettbewerb im Eisenbahnsektor kann nur die Bedingungen sowohl des Güter- als auch des Personenverkehrs verbessern, und in meiner Vorstellung sehe ich bereits Rentnerinnen und Rentner sowie ältere Menschen, die endlich ihre Zeit damit verbringen können, durch Europa in Schlaf- und Speisewagen zu reisen - komfortable Waggons, die für sie gerade aufgrund ihres Alters absolut notwendig sind."
20,"Es wird schwer sein, diese 2,4 Milliarden EUR ausfindig zu machen, weil wir aufgrund der Präsentation des Haushaltsplanvorentwurfs der Kommission wissen, dass maximal 1,7 Milliarden EUR verfügbar sein werden.","It will be difficult to find these EUR 2.4 billion because, with the presentation of the Commission's PDB, we know that a maximum of EUR 1.7 billion will be available.","Es wird schwierig sein, diese 2,4 Milliarden EUR zu finden, denn mit der Vorlage des PDB der Kommission wissen wir, dass maximal 1,7 Milliarden EUR zur Verfügung stehen werden."
21,"Der erste dieser Änderungsanträge sieht vor, dass traditionelle pflanzliche Erzeugnisse, bei denen es sich nicht um Arzneimittel handelt, auch künftig unter das Lebensmittelrecht und nicht das Humanarzneimittelrecht fallen sollten.","Under the first of these amendments, traditional herbal food products that are non-medicinal should continue to come under existing food legislation and not pharmaceuticals legislation.","Gemäß der ersten dieser Änderungen sollten traditionelle pflanzliche Lebensmittelprodukte, die nicht medizinisch sind, weiterhin unter die bestehende Lebensmittelgesetzgebung fallen und nicht unter die Arzneimittelgesetzgebung."
22,"Ob Sie nun Geschäftsführer oder Einkäufer im Lebensmittelhandel sind, wenn Sie sich dafür entscheiden, die Produkte von Café Liégeois unter Ihrem Name zu vertreiben, verbinden Sie Ihr Image mit hochwertigen Produkten konstanter Qualität.","Whether you are the owner of an establishment or a buyer in the food trade, by choosing to distribute Café Liégeois products under your own name, you associate your image with top of the range products of constant quality.","Unabhängig davon, ob Sie Inhaber eines Betriebs oder Einkäufer im Lebensmittelhandel sind, wenn Sie sich entscheiden, Café Liégeois Produkte unter Ihrem eigenen Namen zu vertreiben, verbinden Sie Ihr Image mit hochwertigen Produkten von gleichbleibender Qualität."
23,"Man braucht aber gleichzeitig klare Minima, die sicherstellen, daß die Qualität der Arbeit, die Sicherheit Dritter und auch die Sicherheit der Arbeitnehmer selber nicht gefährdet wird.","But at the same time, we need clear minimum standards which ensure that the quality of the work, the safety of third parties and also the safety of the employees themselves are not at risk.","Gleichzeitig benötigen wir jedoch klare Mindeststandards, die sicherstellen, dass die Qualität der Arbeit, die Sicherheit Dritter und auch die Sicherheit der Mitarbeiter selbst nicht gefährdet sind."
24,"In unserer Business Class steht Ihnen für maximalen Komfort ein persönlicher, bereits in den Sessel integrierter Monitor zur Verfügung.","In our Business Class you will have a personal monitor, which is already integrated in your seat to ensure maximum comfort.","In unserer Business Class haben Sie einen persönlichen Monitor, der bereits in Ihrem Sitz integriert ist, um maximalen Komfort zu gewährleisten."
25,"Interne und externe Prüfer gewährleisten mit ihrer jährlichen Kontrolle, dass die Deutsche Börse AG die gesetzlichen und darüber hinaus gehende Compliance-Richtlinien einhält.","Every year, internal and external auditors ensure that Deutsche Börse AG complies with the statutory and voluntary compliance guidelines.","Jedes Jahr stellen interne und externe Prüfer sicher, dass die Deutsche Börse AG die gesetzlichen und freiwilligen Compliance-Richtlinien einhält."
26,"Es müssen daher Vorschriften erlassen werden, die einen fairen Wettbewerb zwischen Sportverbänden gewährleisten.",Rules therefore need to be adopted to ensure fair competition between sports bodies.,"Es müssen daher Regeln eingeführt werden, um einen fairen Wettbewerb zwischen Sportverbänden zu gewährleisten."
27,"Das wäre nicht mit dem vereinbar, Herr Kommissar, was Sie in Cork feierlich gesagt haben und wozu ich hundertprozentig stehe, daß wir zum Prinzip der Nachhaltigkeit zurückkehren sollten.","That would not be in keeping with your declaration in Cork, Commissioner, with which I entirely agree: that we must return to the principle of sustainability.","Das wäre nicht im Einklang mit Ihrer Erklärung in Cork, Herr Kommissar, der ich voll und ganz zustimme: dass wir zum Prinzip der Nachhaltigkeit zurückkehren müssen."
28,"Die Materialien, die den relevanten Standards des Militärs entsprechen, wurden entwickelt um z.B. herkömmliche Namensschilder durch nachvollziehbare Barcodeetiketten zu ersetzen.","The soft and slightly conformable film is suitable for long-term outdoor exposure. Typical applications include electronic security seals, automotive VIN numbers and asset tracking labels.","Der weiche und leicht anpassungsfähige Film eignet sich für den langfristigen Einsatz im Außenbereich. Typische Anwendungen umfassen elektronische Sicherheitsplomben, Fahrzeug-Identifizierungsnummern (VIN) und Etiketten zur Vermögensverfolgung."
29,"Die hellen und ruhigen Zimmer unseres Hauses sind ausgestattet mit Klimaanlage, Minibar, Safe, Sat-TV, Durchwahltelefon, WLAN, sowie mit Badezimmer mit Dusche, WC und Haartrockner.","Rooms are quiet, bright, and equipped with air conditioning, a minibar, a safe box, a colour satellite TV, a direct phone, a Wi-Fi connection, shower, private toilet and hairdryer.","Die Zimmer sind ruhig, hell und ausgestattet mit Klimaanlage, Minibar, Safe, Farb-Satellitenfernseher, Direktwahltelefon, WLAN-Verbindung, Dusche, eigenem WC und Haartrockner."
30,Das MUSS für Jungs die Big Air und Big Mountain lieben.,The ultimate tool for all Big Air and Big Mountain skiers.,Das ultimative Werkzeug für alle Big Air- und Big Mountain-Skifahrer.
31,Das ist völlig inakzeptabel und muss gestoppt werden.,This is totally unacceptable and must stop.,Das ist völlig inakzeptabel und muss aufhören.
32,"Clips aus dem Leben, Stills der guten Laune, Blitzlichter auf abweichende Lebensformen sind zu den primären Bildern der Ware geworden.","Agamben, for example, takes Baudelaire as an early witness of struggling against triviality.",Agamben nimmt zum Beispiel Baudelaire als einen frühen Zeugen des Kampfes gegen die Trivialität.
33,"Liberalisierung und Regulierung scheinen sich im Grundsatz zu widersprechen, doch wir in Europa sind in der Lage, beide Elemente miteinander zu kombinieren: die Vorteile des Marktes und die Garantien eines Systems der Solidarität.","Because liberalisation and regulation in principle appear to be contradictory, but, nevertheless, in Europe we are capable of combining the two elements: the advantages of the market with the guarantees of a system of solidarity.","Da Liberalisierung und Regulierung prinzipiell widersprüchlich erscheinen, sind wir in Europa jedoch in der Lage, beide Elemente zu kombinieren: die Vorteile des Marktes mit den Garantien eines Solidaritätssystems."
34,"Dieser Schwellenwert sollte niedriger sein als der Schwellenwert für Vormaterialien ohne Ursprungseigenschaft, um die Beschaffung in der Kumulierungszone zu fördern, muss aber gleichzeitig hoch genug sein, um Mehrfachvergünstigungen zu vermeiden.","This threshold should be lower than the threshold imposed on non-originating inputs in order to favour sourcing in the accumulation zone and, at the same time, high enough to avoid any diversion of preferences.","Diese Schwelle sollte niedriger sein als die Schwelle, die auf nicht ursprungszeugnistragende Inputs angewandt wird, um die Beschaffung in der Kumulierungszone zu begünstigen und gleichzeitig hoch genug sein, um jede Umgehung der Präferenzen zu vermeiden."
35,"Einige Änderungsanträge beziehen sich auf Verbesserungen des Vorschlags der Kommission, die wir bereits bei der ersten Lesung angenommen haben oder bringen erneut solche Teile des ursprünglichen Entwurfs in die Richtlinie ein, die der Rat daraus entfernt hatte.","Three amendments can be partially approved, and one can be approved in principle. Certain amendments concern improvements to the Commission' s proposal which we adopted as early as at the first reading or else they reintroduce into the directive such parts of the original proposal as the Council has removed.","Drei Änderungsanträge können teilweise genehmigt werden, und einer kann prinzipiell genehmigt werden. Bestimmte Änderungsanträge betreffen Verbesserungen des Vorschlags der Kommission, die wir bereits bei der ersten Lesung angenommen haben, oder sie führen Teile des ursprünglichen Vorschlags, die der Rat entfernt hat, wieder in die Richtlinie ein."
36,"Zunächst ignorieren die Männer Dorothy wie üblich und Blanche erntet einsam alle Lorbeeren. Das ändert sich jedoch schlagartig, als Dorothy aus Verlegenheit zum Mikrofon greift und Balladen singt.","Blanche takes Dorothy to her favorite bar ""Rusty Anker"" to cheer her up.","Blanche nimmt Dorothy mit in ihre Lieblingsbar ""Rusty Anker"", um sie aufzumuntern."
37,"Das ist die katastrophale Fortsetzung einer Politik, die dahin geführt hat, wo wir jetzt sind.",That is the disastrous continuation of a policy that has led us where we are now.,"Das ist die katastrophale Fortsetzung einer Politik, die uns dorthin geführt hat, wo wir jetzt sind."
38,Erforderlich sind weiterhin die richtigen Politiken.,We also need policies.,Wir brauchen auch Richtlinien.
39,2007 war ein wichtiges Jahr für die Entwicklung von Mitteln und Wegen zur Bewältigung von Naturkatastrophen auf EU-Ebene.,2007 was an important year for developing ways of dealing with natural disasters at EU level.,Das Jahr 2007 war ein wichtiges Jahr zur Entwicklung von Maßnahmen im Umgang mit Naturkatastrophen auf EU-Ebene.
40,Jack Crusher [[Tod|stirbt]] [[2354]] an Bord der ''Stargazer''.,Picard's crew included [[Jack Crusher]] and a [[weapons officer]] named [[Vigo]].,Picards Besatzung umfasste [[Jack Crusher]] und einen [[Waffenoffizier]] namens [[Vigo]].
41,"Preventing Heart Disease 10 expert tips to 25 prednisolone mg on all San Jacinto, Trinity, Walker, Waller, and mg prednisolone 25, which are part of 25 mg prednisolone and several small business reasons.",This service in prednisolone side tablets effects. Preventing Heart Disease 10 expert tips to prednisolone tablets effects side and other common disease prevention and ignored.,"Dieser Dienst bezieht sich auf die Nebenwirkungen von Prednisolon-Tabletten. Vorbeugung gegen Herzkrankheiten: 10 Expertentipps zu den Nebenwirkungen von Prednisolon-Tabletten und anderen häufigen Krankheitspräventionen, die oft ignoriert werden."
42,"Farben, Lacke, Aerosole, Lebensmittel-Dispersionen (Mayonnaise, Butter, Eis, Milch, etc..), Tinten, biologischen Flüssigkeiten wie Blut-, Pharma-und Kosmetik sind nur einige Beispiele von kolloidalen Dispersionen.","Paints, lacquers, aerosols, food dispersions (mayonnaise, butter, ice cream, milk, etc..), Inks, biological fluids such as blood, pharmaceuticals and cosmetics are just some examples of colloidal dispersions.","Farben, Lacke, Sprays, Lebensmitteldispersionen (Mayonnaise, Butter, Eiscreme, Milch usw.), Tinten, biologische Flüssigkeiten wie Blut, Arzneimittel und Kosmetika sind nur einige Beispiele für kolloidale Dispersionen."
43,"Im Fall von Irland traf der Rat die ihm zweckmäßig erscheinende Entscheidung - ich glaube, dass er spezifische Erwägungen berücksichtigte -, und im Fall von Portugal und Deutschland entschied er anders, weil er es ebenfalls für richtig hielt.","In the case of Ireland, the Council took the decision it deemed appropriate - I imagine it took specific considerations into account - and then, in the case of Portugal and Germany, it took another decision it also deemed appropriate.","Im Fall Irlands traf der Rat die Entscheidung, die er für angemessen hielt – ich nehme an, er berücksichtigte dabei spezifische Überlegungen – und dann traf er im Fall Portugals und Deutschlands eine andere Entscheidung, die er ebenfalls für angemessen hielt."
44,"Die fabelhaften Interpreten, Spitzenmusiker wie die Sängerinnen Jennifer Vyvyan und Marion Lowe sowie das London Symphony Orchestra, werden in dieser Einspielung vom Frauenchor des Royal Opera House Covent Garden, unterstützt. Unter der Stabführung von Peter Maag werden die Frische der Jugendkomposition und die Charaktere der späteren Stücke exzellent vorgetragen.","World-class musicians like the soloists Jennifer Vyvyan, Marion Lowe and the London Symphony Orchestra, conducted by Peter Maag, and supported by the Women?s Chorus of the Royal Opera House, Covent Garden, give a masterly performance of this delightful work which offers an insight into Mendelssohn?s early and late compositional styles.","Weltklasse-Musiker wie die Solisten Jennifer Vyvyan, Marion Lowe und das London Symphony Orchestra unter der Leitung von Peter Maag, unterstützt vom Damenchor des Royal Opera House, Covent Garden, geben eine meisterhafte Darbietung dieses bezaubernden Werkes, das Einblick in Mendelssohns frühe und späte Kompositionsstile bietet."
45,"Als Unternehmen haben Sie die Wahl zwischen diversen, massgeschneiderten Type Training Kursen.",And we will be pleased to tailor any of our courses to your company’s specific training needs.,"Und wir freuen uns, alle unsere Kurse an die spezifischen Schulungsbedürfnisse Ihres Unternehmens anzupassen."
46,"Abschließend möchte ich sagen, daß ich einverstanden bin mit allen Vorschlägen im Bericht des Kollegen, mit den Prioritäten, die er setzt und die auf die ausgewogene Förderung der verschiedenen Regionen der Union ausgerichtet sind, mit den Vorschlägen, die er für die Unterstützung der kleinen und mittleren Unternehmen unterbreitet, und insbesondere mit den Vorschlägen zur Stärkung der Verbindung zwischen den Forschungszentren und den Hochschulen mit Hilfe der lokalen Wachstumsindikatoren.","In closing, I agree with all the proposals contained in Mr de Lassus's report and with the priority he has given to balanced support for the different regions of the European Union. I agree with the proposals he has put forward to assist small and medium-sized enterprises and, above all, with the proposals to strengthen the links between research centres and universities by means of local vehicles for growth.","Abschließend stimme ich allen Vorschlägen in dem Bericht von Herrn de Lassus zu sowie der Priorität, die er der ausgewogenen Unterstützung der verschiedenen Regionen der Europäischen Union eingeräumt hat. Ich unterstütze die von ihm vorgeschlagenen Maßnahmen zur Unterstützung kleiner und mittlerer Unternehmen und vor allem die Vorschläge zur Stärkung der Verbindungen zwischen Forschungseinrichtungen und Universitäten mittels lokaler Wachstumsvehikel."
47,"Öffentliche Parkplätze stehen für EUR 2,80 pro Stunde am Hotel zur Verfügung.",Public parking is possible on site and costs EUR 2.80 per hour.,"Öffentliches Parken ist an der Unterkunft möglich und kostet 2,80 EUR pro Stunde."
48,Diese Daten sollten uns zu denken geben.,These are statistics that must make us pause for thought.,"Dies sind Statistiken, die uns zum Nachdenken bringen müssen."
49,"Wer wie wir das Glück hatte, in einem Teil der Welt geboren zu werden, der weder Lebensmittelknappheit noch Dürren oder Hungersnöte kennt, ist moralisch verpflichtet, sich für eine gerechtere Welt einzusetzen.","We, who are fortunate enough to be born into a part of the world where there are no food shortages, drought or famine, have a moral responsibility to work towards a more just world.","Wir, die das Glück haben, in einem Teil der Welt geboren zu sein, in dem es keine Nahrungsmittelknappheit, Dürre oder Hungersnot gibt, haben die moralische Verantwortung, auf eine gerechtere Welt hinzuarbeiten."
50,"Wer also ein großes Stück mehr Berlin in seinem Grand Theft Auto haben möchte, findet den Download rechts, oder ihr ladet 66,6 CarFM direkt hier runter .","You can download it using the link on the right, or you can download 66,6 CarFM directly .","Sie können es über den Link auf der rechten Seite herunterladen, oder Sie können 66,6 CarFM direkt herunterladen."
51,"Herr Kommissar, ich muss ehrlicherweise zugeben, dass ich Ihre Erklärung für kläglich mager halte.","Commissioner, in all honesty, I find your statement lamentably insubstantial.","Kommissar, ganz ehrlich, ich finde Ihre Aussage bedauerlicherweise dürftig."
52,"Obwohl ein solcher Ausschlag eher während der ersten 2 Monate der Behandlung auftritt, kann der Ausschlag jeder Zeit auftreten.","It is more common for these serious rashes to occur during the first 2 months of treatment, but a rash can occur at any time.","Es ist häufiger, dass diese ernsthaften Hautausschläge während der ersten 2 Monate der Behandlung auftreten, aber ein Ausschlag kann jederzeit vorkommen."
53,"Sie ist der erste Versuch einer Erfassung und Abschätzung der bisher herrschenden, traurigen Situation.",It is the first effort to record and assess the woeful situation so far.,"Es ist der erste Versuch, die beklagenswerte Situation bisher zu dokumentieren und zu bewerten."
54,"Hordler müssen das Blut von Soldaten des Sturmlanzenklans sammeln und bei der Primalistin Thurloga abgeben, die in der Höhle unterhalb der Festung Frostwolf wartet.","Horde players must gather Stormpike Soldier's Blood and bring it into Primalist Thurloga, who can be found in the cave directly under Frostwolf Keep.","Horde-Spieler müssen das Blut der Stormpike-Soldaten sammeln und es zu Primalist Thurloga bringen, die in der Höhle direkt unter der Frostwolf-Feste zu finden ist."
55,"Wärm Dich am Strand auf, finde neue Balance auf dem Gipfel eines Berges, oder finde Entspannung in einem Studio inmitten der Stadt.","Follow clues and hints left by Captain Nemo himself, as you track down his vessel, and become a part of the legend.","Folgen Sie den Hinweisen und Spuren, die Kapitän Nemo selbst hinterlassen hat, während Sie sein Schiff aufspüren und Teil der Legende werden."
56,Wir vermieten komfortable und preiwesrte Appartements im Zentrum und in der Altstadt von Breslau. Wir bieten Uebernachtung in modernen Appartements in Breslau an.,Capital Apartments is the best offer of an accommodation in Wroclaw.,Capital Apartments ist das beste Unterkunftsangebot in Wrocław.
57,"Die Konferenz der Unterzeichner des Übereinkommens über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen hat bereits ihre Verhandlungen aufgenommen, und somit ist es recht spät, wenn wir versuchen, einige der Ansichten des Parlaments darzulegen, aber ich bin überzeugt, daß die Dienste dafür sorgen werden, daß unsere Ansichten recht schnell zum Verhandlungsteam in Harare gelangen, da es im Augenblick tatsächlich um diese Dinge geht.","The Conference of the Parties to the Convention on International Trade in Endangered Species has already begun its deliberations, and so it is rather late in the day for us to seek to lay down some of Parliament's views, but I trust that the services will ensure that our views are forwarded very speedily to the negotiating team in Harare, since they are actually working on it at the moment.","Die Konferenz der Vertragsparteien des Übereinkommens über den internationalen Handel mit gefährdeten Arten hat ihre Beratungen bereits begonnen, und es ist daher ziemlich spät, um einige der Ansichten des Parlaments darzulegen. Ich vertraue jedoch darauf, dass die Dienste sicherstellen werden, dass unsere Ansichten sehr zügig an das Verhandlungsteam in Harare weitergeleitet werden, da sie gerade daran arbeiten."
58,Die unter seinem Namen überlieferten mythologischen Fabeln und ein astronomisches Handbuch stammen dagegen erst aus dem 2. Jahrhundert n. Chr. (s. Hyginus Mythographus ).,"His authorship of the Poeticon astronomicon star atlas is disputed, though during the Renaissance this attribution was commonplace.","Seine Urheberschaft des Poeticon Astronomicon-Sternatlas wird zwar bestritten, war jedoch während der Renaissance allgemein anerkannt."
59,Der Longhua-Tempel ist die größte und wohl schönste Anlage dieser Art in Shanghai.,Longhua Temple is the largest and certainly the prettiest such institution in Shanghai.,Der Longhua-Tempel ist die größte und sicherlich die schönste derartige Einrichtung in Shanghai.
60,Hier findet man unzählige Wander- und Radwege sowie Langlaufloipen.,"Travellers will enjoy an array of hiking, cycling, and cross-country skiing trails.","Reisende werden eine Vielzahl von Wander-, Rad- und Langlaufstrecken genießen."
61,"Noch heute verläuft der Karneval nach einem genauen Programm: als offizieller Beginn wird der 17. Januar, der Tag des S. Antonio, angesehen.","Since 1949, then, the carnival has become a special memento for relaxing and having fun, thanks to the Congreghe whose purpose was to put together friends and relatives and let them participate to the carnival fun.","Seit 1949 ist der Karneval zu einem besonderen Andenken für Entspannung und Spaß geworden, dank der Congreghe, deren Zweck es war, Freunde und Verwandte zusammenzubringen und sie am Karnevalsspaß teilhaben zu lassen."
62,Im Bereich Wareneingang der jeweiligen Linie werden die Werkzeuge kontrolliert und Ihren Fertigungsplänen zugeordnet.,"On receipt of goods at the appropriate line, the tools are inspected and allocated to your production plans.",Bei Erhalt der Waren an der entsprechenden Linie werden die Werkzeuge überprüft und Ihren Produktionsplänen zugewiesen.
63,Sie wird durch nichts in der Europäischen Union gestattet.,It is not permitted in the European Union in any shape or form.,Es ist in der Europäischen Union in keiner Form erlaubt.
64,"Schätzungsweise 68.000 Frauen sterben jedes Jahr an den Folgen unsicherer Abtreibungen, und Millionen Frauen tragen lebenslange Behinderungen oder andere gesundheitliche Schäden davon.",Approximately 68 000 women die every year as a result of unsafe abortions and millions of women incur life-long injuries or other damage to their health.,"Jährlich sterben etwa 68.000 Frauen infolge unsicherer Abtreibungen, und Millionen von Frauen erleiden lebenslange Verletzungen oder andere Gesundheitsschäden."
65,I thought i'd write to thank you for ticket service you provided when we travelled to Prague. The front row seats for the show were fantastic.,Just a quick message to say many thanks for your organisation which enabled us to have a great weekend.,"Hier eine kurze Nachricht, um vielen Dank für Ihre Organisation zu sagen, die es uns ermöglicht hat, ein tolles Wochenende zu haben."
66,"Auch Moses ward der Lüge geziehen. Allein Ich gewährte Aufschub den Ungläubigen, dann erfaßte Ich sie, und wie war (die Folge) Meiner Verleugnung!","And Moses was denied ; but I indulged the disbelievers a long while , then I seized them , and how ( terrible ) was My abhorrence!","Und Mose wurde geleugnet; aber ich gewährte den Ungläubigen lange Zeit Nachsicht, dann ergriff ich sie, und wie schrecklich war meine Abscheu!"
